time,T_Cu1,T_Cu2,T_Inco1,T_H25,T_Inco2,T_Cu3,T_Cu4
45,149.995303089068,146.019854847171,125.451975631418,74.718342366682,48.7990001417626,26.27175327348,24.9992331133262
46,149.999846465937,146.019989446761,121.439704954952,75.790024731759,49.7278840004758,26.2729088640979,25.0009897289345
47,149.999183793011,145.958940775539,119.638398619797,77.0561319832641,50.3163070120073,26.2849183163913,24.9989977241242
48,150.002194695152,145.845251534059,118.564956004922,77.9879747681845,50.8915263927888,26.3086679060766,24.9988604139294
49,150.003140472463,145.717471691757,117.852893344998,78.6953717334976,51.4363145879268,26.3393815618267,25.0001432378895
50,150.00382030023,145.587550854176,117.363584655914,79.2491805880343,51.936942081259,26.3680328483246,25.000681237668
51,149.996640376155,145.464321070785,117.023560291709,79.7041091592947,52.3869335231671,26.398141943779,24.9995298501437
52,150.002695540153,145.343395043462,116.787722697792,80.0788336136484,52.7785180223381,26.4281903386258,24.9991974561983
53,150.00232647006,145.243559521849,116.622635034953,80.4016915446191,53.1262007788808,26.4553743191869,24.9995973891956
54,149.994939176028,145.151951171325,116.519308699663,80.6820476992731,53.4342572410944,26.4784804887734,24.9992753640926
55,149.994284965223,145.062938525203,116.449206497113,80.9330759920019,53.7012327079462,26.5005488977805,25.0000253812994
56,149.99997546078,144.990103266158,116.411782143887,81.1510828867585,53.9356385278232,26.5182468791359,25.0010159108082
57,150.006896159378,144.931103310142,116.387246391175,81.3455519146247,54.1435002044343,26.5372970367707,25.0003223098466
58,149.9976057859,144.878615790153,116.380686460477,81.5258982121756,54.3259607880388,26.5511353194549,24.999003834722
59,150.001279016265,144.835188223306,116.385131631739,81.6844798012351,54.4881147835633,26.5646764266161,24.9997271368818
60,149.995857179092,144.79839691275,116.406116451837,81.8307843743414,54.6292025528086,26.5746004259102,24.9988865415381
61,150.00376900589,144.760385581022,116.428993849553,81.9717126384501,54.7596640251195,26.5869491653851,25.000003207283
62,149.996326426732,144.736381091443,116.4498840133,82.0924960398833,54.8737085726756,26.5959232769097,24.9998293029297
63,150.000089355775,144.722235761128,116.473845700883,82.2086280002136,54.9759113730582,26.6023813390652,25.0012439008738
64,150.00298615084,144.693126250825,116.505553350906,82.3107672005718,55.0669345861053,26.6107163231678,25.0007790064525
65,150.005863548788,144.691641382481,116.534979133043,82.4057208202733,55.1548173558725,26.6166865507781,24.9999641291747
66,150.006889371378,144.677212597369,116.567713783043,82.4961425119214,55.2284349701625,26.6231144723267,25.0009861193889
67,150.000708232949,144.664672053631,116.600896661468,82.5784672076175,55.2990507111673,26.6279857935803,24.9990938664869
68,149.994579366642,144.659063641899,116.632990160525,82.6550754783829,55.3627690041771,26.6327878926414,24.9997250122861
69,149.994739410083,144.649023385463,116.662758040833,82.7170397123764,55.4167637819233,26.6364781205231,25.0010683905625
70,149.996362623812,144.648643840989,116.697535242413,82.7892557277467,55.4695431833533,26.6405990843959,25.001043734581
71,150.00511075884,144.653625576855,116.722450133987,82.847576353623,55.5201822764137,26.6435479443559,25.000533935029
72,149.996314232685,144.646352020524,116.755591421308,82.9068619501018,55.5642185536647,26.6492202947888,25.0002958434591
73,150.004714272391,144.645605418931,116.77921515148,82.955278976229,55.6073495583099,26.6514912309749,24.9996082197256
74,149.996152874531,144.641762034275,116.809128003535,83.0035372543138,55.6445465390619,26.6549785157366,25.0010900683167
75,150.006438954348,144.64641441175,116.825884143785,83.0515618201243,55.6790212150391,26.6554510762826,24.9990619351017
76,149.99774975649,144.649771640677,116.855050600282,83.0891022915973,55.7074454040923,26.6597940546666,25.0005764634038
77,149.995448928756,144.652344768047,116.873556586458,83.1308394702817,55.7374236837208,26.6616006918189,25.0003661935811
78,149.99626625787,144.65031051089,116.900021392369,83.171080965878,55.7652098789984,26.6630023646007,25.0008328799642
79,150.001740670142,144.652194893467,116.921265681305,83.2028544320559,55.7948968130458,26.6644693275003,24.9997457055705
80,149.999599332734,144.66362565879,116.933907016079,83.2373634651561,55.8196271280741,26.6656817235017,25.0006245555234
81,149.997774892606,144.652448328304,116.955096760955,83.2666672038398,55.8404465740877,26.6685763266825,25.0008380512762
82,150.004962429418,144.667349404215,116.972803812464,83.2936665468004,55.858110512074,26.6686452442807,24.9995561509934
83,150.001278961367,144.670437829929,116.995156266143,83.3173260581147,55.8807550653692,26.6695684607654,25.0001306540421
84,150.000745854124,144.671436700079,117.013510540048,83.3456491231195,55.8953864633526,26.6727117468133,25.0011978228311
85,150.006257904957,144.664027625005,117.023110283729,83.3640697505847,55.9122879770749,26.6736368865161,25.0001232713325
86,149.996787585282,144.669038758029,117.04285944635,83.3904317197813,55.9309741373244,26.6748562583594,24.999576059024
87,150.003858003437,144.672707256104,117.055505084793,83.4112189944246,55.9439695599921,26.6756897481759,25.0002986788879
88,150.003805936414,144.680237650479,117.060819477108,83.4310339417073,55.959582370414,26.6760557028073,24.9996515914275
89,149.998206687705,144.67486070518,117.080230403107,83.4504464024098,55.9730326912798,26.6768784355459,25.0006412738588
90,150.001017324611,144.68572800404,117.089479903358,83.4681841075094,55.9842049396688,26.6788534248414,24.9997847518717
91,149.993637814343,144.679167193945,117.106812114597,83.4823525478994,55.9964256105315,26.6783093155499,24.999980862761
92,149.99330925178,144.689328725432,117.106628362613,83.4957756425304,56.0042323789181,26.6803719936071,25.0004868580828
93,150.000461963295,144.689182555588,117.121985164553,83.5127631205483,56.0170113159149,26.6809940680557,25.0011818347127
94,150.004187508452,144.695381585897,117.130947047984,83.5231044176992,56.0276954294827,26.6818094919105,24.9995693874012
95,150.006510160263,144.69644647913,117.140265143486,83.5308609602049,56.0359055519095,26.681491247964,25.0008445079577
96,149.994448593127,144.701082176396,117.152286065657,83.5434488852933,56.0397859060843,26.6824072793281,25.0005976805682
97,150.001032354913,144.702717979423,117.154973526037,83.5606738825938,56.0491108961474,26.6837825352607,25.0011354361409
98,149.999540859616,144.696399616955,117.167880311755,83.5678873418979,56.0564129511024,26.6829313865798,24.9988298065738
99,149.992678531043,144.703331683671,117.171281328835,83.5806648007698,56.0650320720642,26.6823778508638,24.9996421724655
100,149.997556839666,144.697660530869,117.17285417983,83.5845433943119,56.0709821517841,26.6849729613724,25.0004066345857
101,149.994932734623,144.696740768015,117.180798486564,83.5960599567254,56.0781094940468,26.6847601637201,24.9994537538979
102,150.00441426811,144.70849238896,117.193144117305,83.6048523083079,56.0814381334155,26.6844141543203,24.9993259576683
103,149.997168225631,144.70631576444,117.195848318059,83.6075206017365,56.0858871565071,26.6864945511844,25.000527821378
104,150.000427997033,144.707310948633,117.197386076345,83.6196123512944,56.090256072307,26.6847777111055,25.0003114322925
105,149.994984730942,144.714678093861,117.20459213018,83.6243009043387,56.0988411104723,26.6862455384455,25.0002265216323
106,150.001529729121,144.711567814718,117.212428319999,83.6280864968192,56.1001261577823,26.6864245546289,25.0004010949158
107,149.996444569268,144.712776572542,117.212004685313,83.6377964363462,56.1053499298663,26.6861310572599,24.9988688866828
108,150.002311186477,144.717313295748,117.222608851319,83.6409910865295,56.1102203075229,26.6857476874255,24.9996219620213
109,150.002838217547,144.717515179683,117.22075753749,83.6457597756112,56.1121302593343,26.6856899803739,24.9998783514509
110,150.003722273892,144.715134520728,117.232398374343,83.6514882417485,56.1179515092557,26.6869864344727,24.9993522624928
111,149.999258123978,144.710315382754,117.228318469652,83.655741856107,56.1203670469507,26.6865795621922,25.0005376125332
112,149.99375732067,144.711972343372,117.237458743963,83.6605699600004,56.1216069416928,26.6882375988536,25.00089045573
113,149.995934654531,144.722115991274,117.23382738825,83.6635581415391,56.1280691063038,26.687489106004,24.9994537692378
114,150.006200060423,144.71044511412,117.237938846347,83.6724855294395,56.1270005515986,26.6889349820986,25.0005776270743
115,149.994785670285,144.717822448619,117.238420690905,83.6732692644854,56.130681828396,26.6888259086814,24.9990944072313
116,150.004887254662,144.713826660081,117.246733616138,83.6789415598122,56.1328082989925,26.6885573873089,25.0008418069544
117,150.000575136529,144.726186799814,117.250465572246,83.6835723360865,56.1367587947343,26.6876627290241,24.9990965042894
118,150.007442020749,144.722929623254,117.251196134604,83.6850606947824,56.1364616878553,26.6898940366571,25.0002205234635
119,149.993672632931,144.720417472224,117.251979735976,83.688316094393,56.140267225204,26.6881865949505,24.9996653920011
120,149.999140174047,144.720520121609,117.256619181806,83.6903360587948,56.1405058331843,26.6900775727199,25.0007668988617
121,149.994099791553,144.715063589826,117.258612692934,83.6902655455037,56.142361692177,26.6883310495354,25.0000094519644
122,150.006928471213,144.724540722344,117.260825230313,83.6957995391476,56.1478447665925,26.6888475298527,24.9999739858468
123,149.992569513362,144.715729032376,117.262057115216,83.7011598757814,56.1466880749776,26.6881939899886,25.0009426218085
124,150.004123656971,144.716567791437,117.267324306497,83.7035262991288,56.1499572477465,26.6897724720785,24.9996328545323
125,150.00475954831,144.723478509197,117.260236323179,83.7005388000339,56.1534136442026,26.6886436922848,24.9998736088914
126,150.00553042058,144.717701815296,117.267560444083,83.7019672749992,56.1517742202537,26.6883738324027,25.0011588257171
127,149.993766537683,144.7284942408,117.263386546012,83.7067855669489,56.1545166778314,26.6902703680192,24.9988557444948
128,149.998496739736,144.728817401679,117.26331110045,83.7091446799221,56.1560689657289,26.6893491922854,25.0011823958354
129,149.996398056043,144.727754000924,117.270253174647,83.7089046592312,56.1553689464547,26.6902620030757,24.9992230171078
130,150.004501027203,144.71976268898,117.269560610657,83.7086732187846,56.1576830369641,26.6895958708871,25.0004178007501
131,149.998971207412,144.727418362003,117.270745868336,83.7163313008376,56.1556196818742,26.6903140374042,25.0002160990367
132,150.006159713916,144.725640214132,117.274151426345,83.7104466693291,56.1611908873321,26.6887618193908,25.000437781041
133,149.995227705425,144.732463923131,117.276385722655,83.7119298524392,56.1578891357083,26.6911950317211,24.999652555123
134,149.996457043748,144.728008621,117.272367901313,83.7134453983601,56.1591693961699,26.6909585957066,25.0003006960677
135,149.994683084706,144.730419137798,117.276880772395,83.7147915739066,56.1629451620309,26.6908664628802,25.0007778772128
136,149.994541028381,144.725922779845,119.777421477693,83.2843728577214,55.210541409494,26.6896434897981,24.9987981436935
137,150.005539383115,144.757278237409,121.310669674103,82.5290706968753,54.6339930128003,26.6758554970297,24.9989596837707
138,150.00119556881,144.835848881063,122.372877233052,81.8412637344292,54.1571258985853,26.6520205043248,25.001187004168
139,150.000747903028,144.920212398252,123.170001395284,81.2525252744092,53.7219691746948,26.6240228330133,25.000378373831
140,149.994674321973,145.024885856182,123.800518720947,80.7294777426118,53.3212944963245,26.5964368117416,24.9993280945404
141,150.005295466766,145.130814555184,124.292749001897,80.2692231369948,52.9596637013315,26.5698551292978,24.9997587278578
142,150.001830826972,145.236483966337,124.68164197071,79.8538739765763,52.6262573829425,26.5457456266283,24.9990550512956
143,149.997764285713,145.340110480265,124.994295352245,79.4923617458736,52.3249072275984,26.524166415386,24.9994210970535
144,150.000198743098,145.430267999784,125.231395085064,79.1607281730386,52.0523554465081,26.5033376576963,24.9993946154253
145,149.998527120506,145.502674894083,125.425988559156,78.8594922821046,51.8016151864688,26.486423296522,24.9995791630969
146,149.993639500375,145.583249279643,125.576900228108,78.5834174929106,51.5780461543373,26.4701353069233,24.9991305850322
147,149.996098742303,145.653270962121,125.708115070457,78.3310169467065,51.3761417202226,26.4523781989345,24.9996200191493
148,149.994349784023,145.712635209202,125.799127076249,78.0976270928936,51.1899959159591,26.43989344605,24.9990541461358
149,149.995258616824,145.770316415295,125.870557244103,77.8820621961229,51.0178995467235,26.4261569987561,25.0009603826444
150,149.996099287885,145.817772021252,125.928888720217,77.6872428304249,50.8635882230199,26.4166409191896,24.9989856959752
151,149.998759006036,145.854953073807,125.970012896811,77.5034330217296,50.7223535751441,26.4067584286722,25.0010751015653
152,149.993244816455,145.893793765609,126.002195381272,77.3342606057338,50.5928057216316,26.3948708836474,24.9997475499226
153,150.006040741649,145.919753196709,126.022445511948,77.185051419442,50.4764907987617,26.3885483412752,24.9988685036551
154,150.006671807846,145.961633822521,126.038597293367,77.034984425576,50.3688793319836,26.3782350696999,24.9996059337579
155,149.999862961387,145.97362224812,126.043772954898,76.8999233490373,50.2691160813271,26.3727743128593,25.0005899153972
156,149.999838789576,145.993232431826,126.052295929589,76.7744735617024,50.1758928995457,26.3664195653249,25.0007367053933
157,149.997565791147,146.014595080092,126.040962769184,76.6582853729475,50.0886125690251,26.3596821099587,25.0001122647456
158,150.006000807696,146.02685461877,126.034612887039,76.5502930499084,50.012499394886,26.3550139121468,25.0004655586575
159,149.998038701717,146.043565147619,126.027024699024,76.4433738168812,49.9370874750391,26.3498943811127,25.0009840817398
160,149.994168041329,146.051759588282,126.016640360559,76.3541279457057,49.8695606853408,26.3444163007449,24.9988869794748
161,150.004203781025,146.06928181444,126.009422757416,76.2626390800792,49.8066683150499,26.3387318771938,24.9995091534493
162,149.998346082554,146.075829817805,125.997129109284,76.1812624457969,49.7486027524715,26.334870476562,24.9988654788908
163,149.996125369289,146.068789199394,125.982231718194,76.0990668603528,49.6945086613557,26.3310020265613,24.9992386919091
164,149.998558682184,146.083242164993,125.972639431326,76.0263746481768,49.6441436179946,26.3271292394518,25.0005504145063
165,149.993946817878,146.079810611024,125.955807717647,75.9545106189343,49.5976579467475,26.3240451353369,25.0005543831837
166,149.994479599389,146.084586159689,125.942164688489,75.8907879901506,49.5537089023072,26.3223574525258,25.0009444976779
167,150.006630758862,146.088182491705,125.928554527526,75.8337514842266,49.5121719912236,26.320387103587,25.0002060824112
