time,T_Cu1,T_Cu2,T_Inco1a,T_Inco1,T_H25a,T_H25b,T_Inco2,T_Inco2a,T_Cu3,T_Cu4
74,149.996152874531,144.754553053229,133.874996949971,117.45244299149,86.5855039003992,77.4244964192565,53.996951938596,36.9334917976727,26.6529238602363,24.9995296498629
75,150.006438954348,144.749195174672,133.838785130004,117.404472942244,86.6526621957846,77.4707389835875,54.0529045487627,36.9587896028003,26.6554978102505,24.9994786428191
76,149.99774975649,144.742181744722,133.81830613642,117.346566354503,86.7132009007239,77.5277315064635,54.1156999064237,36.9823804628256,26.659641614716,25.0008758933434
77,149.995448928756,144.734118765638,133.787121683914,117.299123415176,86.7786182593185,77.5768223402177,54.1739647824621,37.0076411390036,26.6625720268052,25.00102911856
78,149.99626625787,144.721260941716,133.766530029119,117.253779785988,86.8427865685104,77.6241808722252,54.2329125484366,37.0328958605172,26.6665400380527,25.0003481903682
79,150.001740670142,144.71220588778,133.741416557669,117.200425583112,86.9118181829314,77.6711568257548,54.2877187950535,37.0576094031139,26.6698351919725,24.9993884257449
80,149.999599332734,144.712638457793,133.707885560034,117.15459049024,86.974800626034,77.716804458883,54.3460393594116,37.0806494946817,26.6735434368768,24.9989716646001
81,149.997774892606,144.690440261783,133.685513422559,117.104852015334,87.0331531392018,77.7667600943268,54.402176173963,37.1040759212183,26.676622586614,25.0008456389688
82,150.004962429418,144.694350724759,133.66050079054,117.055079042067,87.087866488986,77.807872228891,54.4543310898133,37.1263975413038,26.6798089407738,25.0002117965482
83,150.001278961367,144.686500453806,133.642092662084,117.00361849495,87.1514635825753,77.8508656418869,54.50981658478,37.1498214556849,26.6842762882164,25.0011202718385
84,150.000745854124,144.67664150251,133.620368848422,116.961522321467,87.2035364575959,77.8997307830428,54.5656820397627,37.1734190800309,26.6882791591682,24.998902572323
85,150.006257904957,144.65847712014,133.589858722338,116.908175849658,87.2599926182676,77.9415083726638,54.6161888013689,37.1964019890526,26.6915358834467,25.0002116032584
86,149.996787585282,144.652851658942,133.572099624564,116.868453705653,87.319962937781,77.9835347794447,54.6671730294686,37.2178545043641,26.6927319273936,24.9994627702141
